================================================================================
ANÁLISIS LÉXICO - LENGUAJE GO
================================================================================
Archivo analizado: algoritmo3.go
Fecha y hora: 12/11/2025 21:47:04
Usuario: JairPalaguachi
================================================================================

TOKENS RECONOCIDOS (773)
--------------------------------------------------------------------------------
Token: PACKAGE              | Valor: package                        | Línea:    5 | Columna:    1
Token: ID                   | Valor: main                           | Línea:    5 | Columna:    9
Token: IMPORT               | Valor: import                         | Línea:    7 | Columna:    1
Token: LPAREN               | Valor: (                              | Línea:    7 | Columna:    8
Token: STRING_LITERAL       | Valor: fmt                            | Línea:    8 | Columna:    5
Token: STRING_LITERAL       | Valor: errors                         | Línea:    9 | Columna:    5
Token: RPAREN               | Valor: )                              | Línea:   10 | Columna:    1
Token: FUNC                 | Valor: func                           | Línea:   12 | Columna:    1
Token: ID                   | Valor: main                           | Línea:   12 | Columna:    6
Token: LPAREN               | Valor: (                              | Línea:   12 | Columna:   10
Token: RPAREN               | Valor: )                              | Línea:   12 | Columna:   11
Token: LBRACE               | Valor: {                              | Línea:   12 | Columna:   13
Token: VAR                  | Valor: var                            | Línea:   14 | Columna:    5
Token: ID                   | Valor: numeros                        | Línea:   14 | Columna:    9
Token: LBRACKET             | Valor: [                              | Línea:   14 | Columna:   17
Token: INT_LITERAL          | Valor: 5                              | Línea:   14 | Columna:   18
Token: RBRACKET             | Valor: ]                              | Línea:   14 | Columna:   19
Token: ID                   | Valor: int                            | Línea:   14 | Columna:   20
Token: ID                   | Valor: numeros                        | Línea:   15 | Columna:    5
Token: LBRACKET             | Valor: [                              | Línea:   15 | Columna:   12
Token: INT_LITERAL          | Valor: 0                              | Línea:   15 | Columna:   13
Token: RBRACKET             | Valor: ]                              | Línea:   15 | Columna:   14
Token: ASSIGN               | Valor: =                              | Línea:   15 | Columna:   16
Token: INT_LITERAL          | Valor: 10                             | Línea:   15 | Columna:   18
Token: ID                   | Valor: numeros                        | Línea:   16 | Columna:    5
Token: LBRACKET             | Valor: [                              | Línea:   16 | Columna:   12
Token: INT_LITERAL          | Valor: 1                              | Línea:   16 | Columna:   13
