================================================================================
ANÁLISIS LÉXICO - LENGUAJE GO
================================================================================
Archivo analizado: algoritmo1.go
Fecha y hora: 12/11/2025 21:22:07
Usuario: SKEIILAT
================================================================================

TOKENS RECONOCIDOS (143)
--------------------------------------------------------------------------------
Token: LPAREN               | Valor: (                              | Línea:    9 | Columna:   10
Token: RPAREN               | Valor: )                              | Línea:    9 | Columna:   11
Token: LBRACE               | Valor: {                              | Línea:    9 | Columna:   13
Token: ASSIGN               | Valor: =                              | Línea:   12 | Columna:   18
Token: ASSIGN               | Valor: =                              | Línea:   13 | Columna:   24
Token: DOT                  | Valor: .                              | Línea:   13 | Columna:   28
Token: ASSIGN               | Valor: =                              | Línea:   14 | Columna:   21
Token: ASSIGN               | Valor: =                              | Línea:   17 | Columna:   16
Token: ASSIGN               | Valor: =                              | Línea:   18 | Columna:   21
Token: DOT                  | Valor: .                              | Línea:   18 | Columna:   25
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   21 | Columna:   14
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   22 | Columna:   13
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   23 | Columna:   15
Token: LPAREN               | Valor: (                              | Línea:   23 | Columna:   26
Token: COMMA                | Valor: ,                              | Línea:   23 | Columna:   29
Token: RPAREN               | Valor: )                              | Línea:   23 | Columna:   33
Token: COMMA                | Valor: ,                              | Línea:   26 | Columna:   10
Token: COMMA                | Valor: ,                              | Línea:   26 | Columna:   13
Token: COMMA                | Valor: ,                              | Línea:   27 | Columna:    6
Token: COMMA                | Valor: ,                              | Línea:   27 | Columna:    9
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   27 | Columna:   13
Token: COMMA                | Valor: ,                              | Línea:   27 | Columna:   17
Token: COMMA                | Valor: ,                              | Línea:   27 | Columna:   20
Token: LPAREN               | Valor: (                              | Línea:   30 | Columna:    9
Token: ASSIGN               | Valor: =                              | Línea:   31 | Columna:   32
Token: ASSIGN               | Valor: =                              | Línea:   32 | Columna:   20
Token: ASSIGN               | Valor: =                              | Línea:   33 | Columna:   25
Token: RPAREN               | Valor: )                              | Línea:   34 | Columna:    5
Token: ASSIGN               | Valor: =                              | Línea:   37 | Columna:   14
Token: DOT                  | Valor: .                              | Línea:   37 | Columna:   17
Token: ASSIGN               | Valor: =                              | Línea:   38 | Columna:   24
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   41 | Columna:   10
Token: PLUS                 | Valor: +                              | Línea:   41 | Columna:   15
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   42 | Columna:   11
Token: MINUS                | Valor: -                              | Línea:   42 | Columna:   16
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   43 | Columna:   20
Token: TIMES                | Valor: *                              | Línea:   43 | Columna:   25
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   44 | Columna:   14
Token: DIVIDE               | Valor: /                              | Línea:   44 | Columna:   22
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   45 | Columna:   12
Token: MOD                  | Valor: %                              | Línea:   45 | Columna:   20
Token: INCREMENT            | Valor: ++                             | Línea:   48 | Columna:   13
Token: DECREMENT            | Valor: --                             | Línea:   49 | Columna:    9
Token: DOT                  | Valor: .                              | Línea:   52 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   52 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   52 | Columna:   24
Token: COMMA                | Valor: ,                              | Línea:   52 | Columna:   26
Token: RPAREN               | Valor: )                              | Línea:   52 | Columna:   34
Token: DOT                  | Valor: .                              | Línea:   53 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   53 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   53 | Columna:   22
Token: COMMA                | Valor: ,                              | Línea:   53 | Columna:   24
Token: RPAREN               | Valor: )                              | Línea:   53 | Columna:   30
Token: DOT                  | Valor: .                              | Línea:   54 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   54 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   54 | Columna:   24
Token: COMMA                | Valor: ,                              | Línea:   54 | Columna:   26
Token: RPAREN               | Valor: )                              | Línea:   54 | Columna:   34
Token: DOT                  | Valor: .                              | Línea:   55 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   55 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   55 | Columna:   24
Token: COMMA                | Valor: ,                              | Línea:   55 | Columna:   26
Token: RPAREN               | Valor: )                              | Línea:   55 | Columna:   34
Token: DOT                  | Valor: .                              | Línea:   56 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   56 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   56 | Columna:   24
Token: COMMA                | Valor: ,                              | Línea:   56 | Columna:   26
Token: RPAREN               | Valor: )                              | Línea:   56 | Columna:   34
Token: DOT                  | Valor: .                              | Línea:   57 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   57 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   57 | Columna:   29
Token: COMMA                | Valor: ,                              | Línea:   57 | Columna:   31
Token: RPAREN               | Valor: )                              | Línea:   57 | Columna:   44
Token: DOT                  | Valor: .                              | Línea:   58 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   58 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   58 | Columna:   26
Token: COMMA                | Valor: ,                              | Línea:   58 | Columna:   28
Token: RPAREN               | Valor: )                              | Línea:   58 | Columna:   38
Token: DOT                  | Valor: .                              | Línea:   59 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   59 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   59 | Columna:   25
Token: COMMA                | Valor: ,                              | Línea:   59 | Columna:   27
Token: RPAREN               | Valor: )                              | Línea:   59 | Columna:   36
Token: DOT                  | Valor: .                              | Línea:   60 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   60 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   60 | Columna:   27
Token: COMMA                | Valor: ,                              | Línea:   60 | Columna:   29
Token: RPAREN               | Valor: )                              | Línea:   60 | Columna:   40
Token: DOT                  | Valor: .                              | Línea:   61 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   61 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   61 | Columna:   37
Token: COMMA                | Valor: ,                              | Línea:   61 | Columna:   39
Token: COMMA                | Valor: ,                              | Línea:   61 | Columna:   42
Token: COMMA                | Valor: ,                              | Línea:   61 | Columna:   45
Token: RPAREN               | Valor: )                              | Línea:   61 | Columna:   48
Token: DOT                  | Valor: .                              | Línea:   62 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   62 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   62 | Columna:   35
Token: COMMA                | Valor: ,                              | Línea:   62 | Columna:   37
Token: COMMA                | Valor: ,                              | Línea:   62 | Columna:   40
Token: COMMA                | Valor: ,                              | Línea:   62 | Columna:   43
Token: RPAREN               | Valor: )                              | Línea:   62 | Columna:   46
Token: DOT                  | Valor: .                              | Línea:   63 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   63 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   63 | Columna:   33
Token: COMMA                | Valor: ,                              | Línea:   63 | Columna:   35
Token: RPAREN               | Valor: )                              | Línea:   63 | Columna:   52
Token: DOT                  | Valor: .                              | Línea:   64 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   64 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   64 | Columna:   24
Token: COMMA                | Valor: ,                              | Línea:   64 | Columna:   26
Token: RPAREN               | Valor: )                              | Línea:   64 | Columna:   34
Token: DOT                  | Valor: .                              | Línea:   65 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   65 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   65 | Columna:   28
Token: COMMA                | Valor: ,                              | Línea:   65 | Columna:   30
Token: RPAREN               | Valor: )                              | Línea:   65 | Columna:   42
Token: DOT                  | Valor: .                              | Línea:   66 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   66 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   66 | Columna:   20
Token: COMMA                | Valor: ,                              | Línea:   66 | Columna:   22
Token: RPAREN               | Valor: )                              | Línea:   66 | Columna:   26
Token: DOT                  | Valor: .                              | Línea:   67 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   67 | Columna:   16
