================================================================================
ANÁLISIS LÉXICO - LENGUAJE GO
================================================================================
Archivo analizado: algoritmo3.go
Fecha y hora: 12/11/2025 21:22:16
Usuario: SKEIILAT
================================================================================

TOKENS RECONOCIDOS (428)
--------------------------------------------------------------------------------
Token: LPAREN               | Valor: (                              | Línea:    7 | Columna:    8
Token: RPAREN               | Valor: )                              | Línea:   10 | Columna:    1
Token: LPAREN               | Valor: (                              | Línea:   12 | Columna:   10
Token: RPAREN               | Valor: )                              | Línea:   12 | Columna:   11
Token: LBRACE               | Valor: {                              | Línea:   12 | Columna:   13
Token: LBRACKET             | Valor: [                              | Línea:   14 | Columna:   17
Token: RBRACKET             | Valor: ]                              | Línea:   14 | Columna:   19
Token: LBRACKET             | Valor: [                              | Línea:   15 | Columna:   12
Token: RBRACKET             | Valor: ]                              | Línea:   15 | Columna:   14
Token: ASSIGN               | Valor: =                              | Línea:   15 | Columna:   16
Token: LBRACKET             | Valor: [                              | Línea:   16 | Columna:   12
Token: RBRACKET             | Valor: ]                              | Línea:   16 | Columna:   14
Token: ASSIGN               | Valor: =                              | Línea:   16 | Columna:   16
Token: LBRACKET             | Valor: [                              | Línea:   17 | Columna:   12
Token: RBRACKET             | Valor: ]                              | Línea:   17 | Columna:   14
Token: ASSIGN               | Valor: =                              | Línea:   17 | Columna:   16
Token: LBRACKET             | Valor: [                              | Línea:   18 | Columna:   12
Token: RBRACKET             | Valor: ]                              | Línea:   18 | Columna:   14
Token: ASSIGN               | Valor: =                              | Línea:   18 | Columna:   16
Token: LBRACKET             | Valor: [                              | Línea:   19 | Columna:   12
Token: RBRACKET             | Valor: ]                              | Línea:   19 | Columna:   14
Token: ASSIGN               | Valor: =                              | Línea:   19 | Columna:   16
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   21 | Columna:   16
Token: LBRACKET             | Valor: [                              | Línea:   21 | Columna:   19
Token: RBRACKET             | Valor: ]                              | Línea:   21 | Columna:   21
Token: LBRACE               | Valor: {                              | Línea:   21 | Columna:   28
Token: COMMA                | Valor: ,                              | Línea:   21 | Columna:   36
Token: COMMA                | Valor: ,                              | Línea:   21 | Columna:   46
Token: COMMA                | Valor: ,                              | Línea:   21 | Columna:   59
Token: COMMA                | Valor: ,                              | Línea:   21 | Columna:   69
Token: COMMA                | Valor: ,                              | Línea:   21 | Columna:   80
Token: COMMA                | Valor: ,                              | Línea:   21 | Columna:   90
Token: RBRACE               | Valor: }                              | Línea:   21 | Columna:  101
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   22 | Columna:   12
Token: LBRACKET             | Valor: [                              | Línea:   22 | Columna:   15
Token: RBRACKET             | Valor: ]                              | Línea:   22 | Columna:   17
Token: LBRACKET             | Valor: [                              | Línea:   22 | Columna:   18
Token: RBRACKET             | Valor: ]                              | Línea:   22 | Columna:   20
Token: LBRACE               | Valor: {                              | Línea:   22 | Columna:   24
Token: LBRACE               | Valor: {                              | Línea:   22 | Columna:   25
Token: COMMA                | Valor: ,                              | Línea:   22 | Columna:   27
Token: COMMA                | Valor: ,                              | Línea:   22 | Columna:   30
Token: RBRACE               | Valor: }                              | Línea:   22 | Columna:   33
Token: COMMA                | Valor: ,                              | Línea:   22 | Columna:   34
Token: LBRACE               | Valor: {                              | Línea:   22 | Columna:   36
Token: COMMA                | Valor: ,                              | Línea:   22 | Columna:   38
Token: COMMA                | Valor: ,                              | Línea:   22 | Columna:   41
Token: RBRACE               | Valor: }                              | Línea:   22 | Columna:   44
Token: COMMA                | Valor: ,                              | Línea:   22 | Columna:   45
Token: LBRACE               | Valor: {                              | Línea:   22 | Columna:   47
Token: COMMA                | Valor: ,                              | Línea:   22 | Columna:   49
Token: COMMA                | Valor: ,                              | Línea:   22 | Columna:   52
Token: RBRACE               | Valor: }                              | Línea:   22 | Columna:   55
Token: RBRACE               | Valor: }                              | Línea:   22 | Columna:   56
Token: DOT                  | Valor: .                              | Línea:   24 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   24 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   24 | Columna:   36
Token: COMMA                | Valor: ,                              | Línea:   24 | Columna:   38
Token: RPAREN               | Valor: )                              | Línea:   24 | Columna:   47
Token: DOT                  | Valor: .                              | Línea:   25 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   25 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   25 | Columna:   35
Token: COMMA                | Valor: ,                              | Línea:   25 | Columna:   37
Token: RPAREN               | Valor: )                              | Línea:   25 | Columna:   49
Token: DOT                  | Valor: .                              | Línea:   26 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   26 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   26 | Columna:   28
Token: COMMA                | Valor: ,                              | Línea:   26 | Columna:   30
Token: RPAREN               | Valor: )                              | Línea:   26 | Columna:   38
Token: LBRACKET             | Valor: [                              | Línea:   29 | Columna:   15
Token: RBRACKET             | Valor: ]                              | Línea:   29 | Columna:   16
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   30 | Columna:   13
Token: LBRACKET             | Valor: [                              | Línea:   30 | Columna:   16
Token: RBRACKET             | Valor: ]                              | Línea:   30 | Columna:   17
Token: LBRACE               | Valor: {                              | Línea:   30 | Columna:   24
Token: COMMA                | Valor: ,                              | Línea:   30 | Columna:   30
Token: COMMA                | Valor: ,                              | Línea:   30 | Columna:   38
Token: COMMA                | Valor: ,                              | Línea:   30 | Columna:   48
Token: RBRACE               | Valor: }                              | Línea:   30 | Columna:   57
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   31 | Columna:   11
Token: LPAREN               | Valor: (                              | Línea:   31 | Columna:   18
Token: LBRACKET             | Valor: [                              | Línea:   31 | Columna:   19
Token: RBRACKET             | Valor: ]                              | Línea:   31 | Columna:   20
Token: COMMA                | Valor: ,                              | Línea:   31 | Columna:   28
Token: COMMA                | Valor: ,                              | Línea:   31 | Columna:   31
Token: RPAREN               | Valor: )                              | Línea:   31 | Columna:   35
Token: ASSIGN               | Valor: =                              | Línea:   34 | Columna:   11
Token: LPAREN               | Valor: (                              | Línea:   34 | Columna:   19
Token: COMMA                | Valor: ,                              | Línea:   34 | Columna:   25
Token: RPAREN               | Valor: )                              | Línea:   34 | Columna:   28
Token: ASSIGN               | Valor: =                              | Línea:   35 | Columna:   11
Token: LPAREN               | Valor: (                              | Línea:   35 | Columna:   19
Token: COMMA                | Valor: ,                              | Línea:   35 | Columna:   25
Token: COMMA                | Valor: ,                              | Línea:   35 | Columna:   28
Token: COMMA                | Valor: ,                              | Línea:   35 | Columna:   31
Token: COMMA                | Valor: ,                              | Línea:   35 | Columna:   34
Token: RPAREN               | Valor: )                              | Línea:   35 | Columna:   37
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   36 | Columna:   14
Token: LBRACKET             | Valor: [                              | Línea:   36 | Columna:   24
Token: COLON                | Valor: :                              | Línea:   36 | Columna:   26
Token: RBRACKET             | Valor: ]                              | Línea:   36 | Columna:   28
Token: DOT                  | Valor: .                              | Línea:   38 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   38 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   38 | Columna:   23
Token: COMMA                | Valor: ,                              | Línea:   38 | Columna:   25
Token: RPAREN               | Valor: )                              | Línea:   38 | Columna:   32
Token: DOT                  | Valor: .                              | Línea:   39 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   39 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   39 | Columna:   25
Token: COMMA                | Valor: ,                              | Línea:   39 | Columna:   27
Token: RPAREN               | Valor: )                              | Línea:   39 | Columna:   36
Token: DOT                  | Valor: .                              | Línea:   40 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   40 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   40 | Columna:   23
Token: COMMA                | Valor: ,                              | Línea:   40 | Columna:   25
Token: RPAREN               | Valor: )                              | Línea:   40 | Columna:   32
Token: DOT                  | Valor: .                              | Línea:   41 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   41 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   41 | Columna:   26
Token: COMMA                | Valor: ,                              | Línea:   41 | Columna:   28
Token: RPAREN               | Valor: )                              | Línea:   41 | Columna:   38
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   44 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   44 | Columna:   19
Token: LBRACKET             | Valor: [                              | Línea:   44 | Columna:   23
Token: RBRACKET             | Valor: ]                              | Línea:   44 | Columna:   30
Token: RPAREN               | Valor: )                              | Línea:   44 | Columna:   34
Token: LBRACKET             | Valor: [                              | Línea:   45 | Columna:   11
Token: RBRACKET             | Valor: ]                              | Línea:   45 | Columna:   18
Token: ASSIGN               | Valor: =                              | Línea:   45 | Columna:   20
Token: LBRACKET             | Valor: [                              | Línea:   46 | Columna:   11
Token: RBRACKET             | Valor: ]                              | Línea:   46 | Columna:   17
Token: ASSIGN               | Valor: =                              | Línea:   46 | Columna:   19
Token: LBRACKET             | Valor: [                              | Línea:   47 | Columna:   11
Token: RBRACKET             | Valor: ]                              | Línea:   47 | Columna:   19
Token: ASSIGN               | Valor: =                              | Línea:   47 | Columna:   21
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   50 | Columna:   13
Token: LBRACKET             | Valor: [                              | Línea:   50 | Columna:   19
Token: RBRACKET             | Valor: ]                              | Línea:   50 | Columna:   26
Token: LBRACE               | Valor: {                              | Línea:   50 | Columna:   34
Token: COLON                | Valor: :                              | Línea:   51 | Columna:   18
Token: DOT                  | Valor: .                              | Línea:   51 | Columna:   21
Token: COMMA                | Valor: ,                              | Línea:   51 | Columna:   24
Token: COLON                | Valor: :                              | Línea:   52 | Columna:   17
Token: DOT                  | Valor: .                              | Línea:   52 | Columna:   20
Token: COMMA                | Valor: ,                              | Línea:   52 | Columna:   23
Token: COLON                | Valor: :                              | Línea:   53 | Columna:   18
Token: DOT                  | Valor: .                              | Línea:   53 | Columna:   21
Token: COMMA                | Valor: ,                              | Línea:   53 | Columna:   24
Token: RBRACE               | Valor: }                              | Línea:   54 | Columna:    5
Token: DOT                  | Valor: .                              | Línea:   56 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   56 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   56 | Columna:   24
Token: COMMA                | Valor: ,                              | Línea:   56 | Columna:   26
Token: RPAREN               | Valor: )                              | Línea:   56 | Columna:   34
Token: DOT                  | Valor: .                              | Línea:   57 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   57 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   57 | Columna:   25
Token: COMMA                | Valor: ,                              | Línea:   57 | Columna:   27
Token: RPAREN               | Valor: )                              | Línea:   57 | Columna:   36
Token: DOT                  | Valor: .                              | Línea:   58 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   58 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   58 | Columna:   30
Token: COMMA                | Valor: ,                              | Línea:   58 | Columna:   32
Token: LBRACKET             | Valor: [                              | Línea:   58 | Columna:   40
Token: RBRACKET             | Valor: ]                              | Línea:   58 | Columna:   47
Token: RPAREN               | Valor: )                              | Línea:   58 | Columna:   48
Token: LPAREN               | Valor: (                              | Línea:   61 | Columna:   11
Token: COMMA                | Valor: ,                              | Línea:   61 | Columna:   18
Token: RPAREN               | Valor: )                              | Línea:   61 | Columna:   27
Token: DOT                  | Valor: .                              | Línea:   62 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   62 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   62 | Columna:   50
Token: COMMA                | Valor: ,                              | Línea:   62 | Columna:   52
Token: RPAREN               | Valor: )                              | Línea:   62 | Columna:   60
Token: COMMA                | Valor: ,                              | Línea:   65 | Columna:    9
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   65 | Columna:   18
Token: LBRACKET             | Valor: [                              | Línea:   65 | Columna:   27
Token: RBRACKET             | Valor: ]                              | Línea:   65 | Columna:   35
Token: LBRACE               | Valor: {                              | Línea:   66 | Columna:   15
Token: DOT                  | Valor: .                              | Línea:   67 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   67 | Columna:   20
Token: COLON                | Valor: :                              | Línea:   67 | Columna:   35
Token: COMMA                | Valor: ,                              | Línea:   67 | Columna:   37
Token: RPAREN               | Valor: )                              | Línea:   67 | Columna:   43
Token: RBRACE               | Valor: }                              | Línea:   68 | Columna:    5
Token: LBRACE               | Valor: {                              | Línea:   68 | Columna:   12
Token: DOT                  | Valor: .                              | Línea:   69 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   69 | Columna:   20
Token: RPAREN               | Valor: )                              | Línea:   69 | Columna:   47
Token: RBRACE               | Valor: }                              | Línea:   70 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   73 | Columna:   15
Token: LPAREN               | Valor: (                              | Línea:   73 | Columna:   23
Token: COMMA                | Valor: ,                              | Línea:   73 | Columna:   26
Token: RPAREN               | Valor: )                              | Línea:   73 | Columna:   30
Token: DOT                  | Valor: .                              | Línea:   74 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   74 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   74 | Columna:   22
Token: COMMA                | Valor: ,                              | Línea:   74 | Columna:   24
Token: RPAREN               | Valor: )                              | Línea:   74 | Columna:   35
Token: COMMA                | Valor: ,                              | Línea:   77 | Columna:   13
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   77 | Columna:   19
Token: LPAREN               | Valor: (                              | Línea:   77 | Columna:   29
Token: DOT                  | Valor: .                              | Línea:   77 | Columna:   32
Token: COMMA                | Valor: ,                              | Línea:   77 | Columna:   34
Token: DOT                  | Valor: .                              | Línea:   77 | Columna:   37
Token: RPAREN               | Valor: )                              | Línea:   77 | Columna:   39
Token: NE                   | Valor: !=                             | Línea:   78 | Columna:   12
Token: LBRACE               | Valor: {                              | Línea:   78 | Columna:   19
Token: DOT                  | Valor: .                              | Línea:   79 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   79 | Columna:   20
Token: COLON                | Valor: :                              | Línea:   79 | Columna:   27
Token: COMMA                | Valor: ,                              | Línea:   79 | Columna:   29
Token: RPAREN               | Valor: )                              | Línea:   79 | Columna:   34
Token: RBRACE               | Valor: }                              | Línea:   80 | Columna:    5
Token: LBRACE               | Valor: {                              | Línea:   80 | Columna:   12
Token: DOT                  | Valor: .                              | Línea:   81 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   81 | Columna:   20
Token: COLON                | Valor: :                              | Línea:   81 | Columna:   30
Token: COMMA                | Valor: ,                              | Línea:   81 | Columna:   32
Token: RPAREN               | Valor: )                              | Línea:   81 | Columna:   42
Token: RBRACE               | Valor: }                              | Línea:   82 | Columna:    5
Token: COMMA                | Valor: ,                              | Línea:   85 | Columna:    6
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   85 | Columna:   13
Token: LPAREN               | Valor: (                              | Línea:   85 | Columna:   23
Token: DOT                  | Valor: .                              | Línea:   85 | Columna:   26
Token: COMMA                | Valor: ,                              | Línea:   85 | Columna:   28
Token: DOT                  | Valor: .                              | Línea:   85 | Columna:   31
Token: RPAREN               | Valor: )                              | Línea:   85 | Columna:   33
Token: NE                   | Valor: !=                             | Línea:   86 | Columna:   13
Token: LBRACE               | Valor: {                              | Línea:   86 | Columna:   20
